date,eurostoxx50
2009-12-04,2910.33
2009-12-07,2896.23
2009-12-08,2849.17
2009-12-09,2818.1
2009-12-10,2851.29
2009-12-11,2862.32
2009-12-14,2885.0
2009-12-15,2888.58
2009-12-16,2926.52
2009-12-17,2891.66
2009-12-18,2871.22
2009-12-21,2926.05
2009-12-22,2945.71
2009-12-23,2957.48
2009-12-24,2957.48
2009-12-28,2982.42
2009-12-29,2992.08
2009-12-30,2966.24
2009-12-31,2966.24
2010-01-04,3017.8
2010-01-05,3012.36
2010-01-06,3009.66
2010-01-07,3007.34
2010-01-08,3017.85
2010-01-11,3010.24
2010-01-12,2976.89
2010-01-13,2978.41
2010-01-14,2989.71
2010-01-15,2940.25
2010-01-18,2957.87
2010-01-19,2984.82
2010-01-20,2914.6
2010-01-21,2863.25
2010-01-22,2836.8
2010-01-25,2807.3
2010-01-26,2827.74
2010-01-27,2787.4
2010-01-28,2737.33
2010-01-29,2776.83
2010-02-01,2793.29
2010-02-02,2830.01
2010-02-03,2804.61
2010-02-04,2707.45
2010-02-05,2631.64
2010-02-08,2664.29
2010-02-09,2668.43
2010-02-10,2700.17
2010-02-11,2680.25
2010-02-12,2674.46
2010-02-15,2683.83
2010-02-16,2720.77
2010-02-17,2762.25
2010-02-18,2778.3
2010-02-19,2793.37
2010-02-22,2778.12
2010-02-23,2730.57
2010-02-24,2734.95
2010-02-25,2684.42
2010-02-26,2728.47
2010-03-01,2772.7
2010-03-02,2796.33
2010-03-03,2822.59
2010-03-04,2816.1
2010-03-05,2877.44
2010-03-08,2879.29
2010-03-09,2880.71
2010-03-10,2909.4
2010-03-11,2895.74
2010-03-12,2898.36
2010-03-15,2870.55
2010-03-16,2905.93
2010-03-17,2931.31
2010-03-18,2913.74
2010-03-19,2897.95
2010-03-22,2890.75
2010-03-23,2910.52
2010-03-24,2903.94
2010-03-25,2948.09
2010-03-26,2940.94
2010-03-29,2947.49
2010-03-30,2939.68
2010-03-31,2931.16
2010-04-01,2978.5
2010-04-06,2989.49
2010-04-07,2974.62
2010-04-08,2942.31
2010-04-09,2993.54
2010-04-12,3002.23
2010-04-13,2988.24
2010-04-14,3008.03
2010-04-15,3012.65
2010-04-16,2949.65
2010-04-19,2940.19
2010-04-20,2983.91
2010-04-21,2947.64
2010-04-22,2897.59
2010-04-23,2918.11
2010-04-26,2947.04
2010-04-27,2838.78
2010-04-28,2788.54
2010-04-29,2828.12
2010-04-30,2816.86
2010-05-03,2816.5
2010-05-04,2708.12
2010-05-05,2679.3
2010-05-06,2611.41
2010-05-07,2500.18
2010-05-10,2758.89
2010-05-11,2730.48
2010-05-12,2764.31
2010-05-14,2633.92
2010-05-17,2635.34
2010-05-18,2698.21
2010-05-19,2619.48
2010-05-20,2569.58
2010-05-21,2574.18
2010-05-25,2488.5
2010-05-26,2530.34
2010-05-27,2619.36
2010-05-28,2614.06
2010-05-31,2610.26
2010-06-01,2606.58
2010-06-02,2601.98
2010-06-03,2634.16
2010-06-04,2553.59
2010-06-07,2529.97
2010-06-08,2510.84
2010-06-09,2556.68
2010-06-10,2608.74
2010-06-11,2638.31
2010-06-14,2683.46
2010-06-15,2716.3
2010-06-16,2718.73
2010-06-17,2728.12
2010-06-18,2737.02
2010-06-21,2768.27
2010-06-22,2745.97
2010-06-23,2704.8
2010-06-24,2645.32
2010-06-25,2629.25
2010-06-28,2668.67
2010-06-29,2556.34
2010-06-30,2573.32
2010-07-01,2518.65
2010-07-02,2522.36
2010-07-05,2507.83
2010-07-06,2578.69
2010-07-07,2634.39
2010-07-08,2666.42
2010-07-09,2681.2
2010-07-12,2686.09
2010-07-13,2737.59
2010-07-14,2738.96
2010-07-15,2702.81
2010-07-16,2645.61
2010-07-19,2634.6
2010-07-20,2627.28
2010-07-21,2639.52
2010-07-22,2714.21
2010-07-23,2719.13
2010-07-26,2743.12
2010-07-27,2769.31
2010-07-28,2766.11
2010-07-29,2752.93
2010-07-30,2742.14
2010-08-02,2822.17
2010-08-03,2818.97
2010-08-04,2825.08
2010-08-05,2819.34
2010-08-06,2779.34
2010-08-09,2827.27
2010-08-10,2800.02
2010-08-11,2724.16
2010-08-12,2720.85
2010-08-13,2708.73
2010-08-16,2698.29
2010-08-17,2737.69
2010-08-18,2728.66
2010-08-19,2675.02
2010-08-20,2643.98
2010-08-23,2660.84
2010-08-24,2614.54
2010-08-25,2587.4
2010-08-26,2606.89
2010-08-27,2630.35
2010-08-30,2616.57
2010-08-31,2622.95
2010-09-01,2715.27
2010-09-02,2715.19
2010-09-03,2746.23
2010-09-06,2753.6
2010-09-07,2727.16
2010-09-08,2752.89
2010-09-09,2782.43
2010-09-10,2780.4
2010-09-13,2805.06
2010-09-14,2806.47
2010-09-15,2794.36
2010-09-16,2784.61
2010-09-17,2757.37
2010-09-20,2802.67
2010-09-21,2794.55
2010-09-22,2752.77
2010-09-23,2738.61
2010-09-24,2792.75
2010-09-27,2776.33
2010-09-28,2774.62
2010-09-29,2752.71
2010-09-30,2747.9
2010-10-01,2732.91
2010-10-04,2701.02
2010-10-05,2758.56
2010-10-06,2780.0
2010-10-07,2786.88
2010-10-08,2785.43
2010-10-11,2789.72
2010-10-12,2775.75
2010-10-13,2840.55
2010-10-14,2836.11
2010-10-15,2841.65
2010-10-18,2850.72
2010-10-19,2837.33
2010-10-20,2851.52
2010-10-21,2882.29
2010-10-22,2873.74
2010-10-25,2871.48
2010-10-26,2856.31
2010-10-27,2829.42
2010-10-28,2845.53
2010-10-29,2844.99
2010-11-01,2836.73
2010-11-02,2861.01
2010-11-03,2830.43
2010-11-04,2884.21
2010-11-05,2875.94
2010-11-08,2867.96
2010-11-09,2890.64
2010-11-10,2845.93
2010-11-11,2831.22
2010-11-12,2822.43
2010-11-15,2848.45
2010-11-16,2781.77
2010-11-17,2802.7
2010-11-18,2855.23
2010-11-19,2845.75
2010-11-22,2811.43
2010-11-23,2739.37
2010-11-24,2758.02
2010-11-25,2765.05
2010-11-26,2736.96
2010-11-29,2669.96
2010-11-30,2650.99
2010-12-01,2721.87
2010-12-02,2781.39
2010-12-03,2782.39
2010-12-06,2769.96
2010-12-07,2802.74
2010-12-08,2818.95
2010-12-09,2840.71
2010-12-10,2839.53
2010-12-13,2855.37
2010-12-14,2861.67
2010-12-15,2841.99
2010-12-16,2845.78
2010-12-17,2821.77
2010-12-20,2839.22
2010-12-21,2876.99
2010-12-22,2869.63
2010-12-23,2864.52
2010-12-27,2826.51
2010-12-28,2824.3
2010-12-29,2841.23
2010-12-30,2807.04
2011-01-03,2839.43
2011-01-04,2844.17
2011-01-05,2833.74
2011-01-06,2836.23
2011-01-07,2808.25
2011-01-10,2760.88
2011-01-11,2796.6
2011-01-12,2879.11
2011-01-13,2915.62
2011-01-14,2920.4
2011-01-17,2910.63
2011-01-18,2945.62
2011-01-19,2923.76
2011-01-20,2927.42
2011-01-21,2970.56
2011-01-24,2979.06
2011-01-25,2957.78
2011-01-26,2967.78
2011-01-27,2989.75
2011-01-28,2954.13
2011-01-31,2953.63
2011-02-01,3006.81
2011-02-02,3012.7
2011-02-03,2995.49
2011-02-04,3003.19
2011-02-07,3031.18
2011-02-08,3042.5
2011-02-09,3031.62
2011-02-10,3025.68
2011-02-11,3024.37
2011-02-14,3018.38
2011-02-15,3030.46
2011-02-16,3061.92
2011-02-17,3064.54
2011-02-18,3068.0
2011-02-21,3012.34
2011-02-22,2983.33
2011-02-23,2954.92
2011-02-24,2949.13
2011-02-25,2985.02
2011-02-28,3013.09
2011-03-01,2983.27
2011-03-02,2958.8
2011-03-03,2969.24
2011-03-04,2949.18
2011-03-07,2931.42
2011-03-08,2945.42
2011-03-09,2935.11
2011-03-10,2909.73
2011-03-11,2883.84
2011-03-14,2852.11
2011-03-15,2784.2
2011-03-16,2721.24
2011-03-17,2786.16
2011-03-18,2792.61
2011-03-21,2860.81
2011-03-22,2854.79
2011-03-23,2866.23
2011-03-24,2909.78
2011-03-25,2911.33
2011-03-28,2914.76
2011-03-29,2910.93
2011-03-30,2936.44
2011-03-31,2910.91
2011-04-01,2962.92
2011-04-04,2955.84
2011-04-05,2950.96
2011-04-06,2971.48
2011-04-07,2963.69
2011-04-08,2984.66
2011-04-11,2974.58
2011-04-12,2932.33
2011-04-13,2949.98
2011-04-14,2917.72
2011-04-15,2919.05
2011-04-18,2847.96
2011-04-19,2857.61
2011-04-20,2921.43
2011-04-21,2936.3
2011-04-26,2955.36
2011-04-27,2977.59
2011-04-28,3005.33
2011-04-29,3011.25
2011-05-02,3008.89
2011-05-03,3000.39
2011-05-04,2952.02
2011-05-05,2926.54
2011-05-06,2952.9
2011-05-09,2902.4
2011-05-10,2939.02
2011-05-11,2942.43
2011-05-12,2917.05
2011-05-13,2894.6
2011-05-16,2881.31
2011-05-17,2849.6
2011-05-18,2867.3
2011-05-19,2890.6
2011-05-20,2853.98
2011-05-23,2794.26
2011-05-24,2801.27
2011-05-25,2816.84
2011-05-26,2799.82
2011-05-27,2819.4
2011-06-01,2827.66
2011-06-03,2789.11
2011-06-06,2765.33
2011-06-07,2774.5
2011-06-08,2752.06
2011-06-09,2778.12
2011-06-10,2732.54
2011-06-14,2779.94
2011-06-15,2731.5
2011-06-16,2730.62
2011-06-17,2770.12
2011-06-20,2748.01
2011-06-21,2801.99
2011-06-22,2795.07
2011-06-23,2730.86
2011-06-24,2715.88
2011-06-27,2723.93
2011-06-28,2750.49
2011-06-29,2802.55
2011-06-30,2848.53
2011-07-01,2875.67
2011-07-04,2870.19
2011-07-05,2850.51
2011-07-06,2832.63
2011-07-07,2844.51
2011-07-08,2790.09
2011-07-11,2709.14
2011-07-12,2693.53
2011-07-13,2715.05
2011-07-14,2631.98
2011-07-15,2675.38
2011-07-18,2622.36
2011-07-19,2631.98
2011-07-20,2705.75
2011-07-21,2631.98
2011-07-22,2772.6
2011-07-25,2742.7
2011-07-26,2739.65
2011-07-27,2693.71
2011-07-28,2692.76
2011-07-29,2670.37
2011-08-02,2544.89
2011-08-03,2497.83
2011-08-04,2412.29
2011-08-05,2375.15
2011-08-08,2286.91
2011-08-09,2294.24
2011-08-10,2153.77
2011-08-11,2215.45
2011-08-12,2307.33
2011-08-15,2324.48
2011-08-16,2323.67
2011-08-17,2331.12
2011-08-18,2206.61
2011-08-19,2159.07
2011-08-22,2183.39
2011-08-23,2199.98
2011-08-24,2238.7
2011-08-25,2216.7
2011-08-26,2190.44
2011-08-29,2239.3
2011-08-30,2239.14
2011-08-31,2302.08
